Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Family_Size,Income_PerCap,Total_Spent,Prop_Spending_Income_pc,Total_Puchases,Avg_Ticket,Age,Dt_Customer_InDays,Lives_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
3,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,1,1,58138.0,1617,0.0278131342667446,25,64.68,57,37,1,0,0,1,0,0
3,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,3,15448.0,27,0.0017477990678404,6,4.5,60,587,1,0,0,1,0,0
3,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,2,35806.5,776,0.0216720427855277,21,36.95,49,388,0,0,0,0,1,0
3,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,3,8882.0,53,0.0059671245215041,8,6.62,30,561,0,0,0,0,1,0
5,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,3,19431.0,422,0.0217178735011064,19,22.21,33,539,0,0,1,0,0,0
4,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,3,20837.67,716,0.0343608474459956,22,32.55,47,407,0,0,0,0,1,0
3,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,2,27817.5,590,0.0212096701716545,21,28.1,43,107,1,1,0,0,0,0
5,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,3,11151.33,169,0.0151551429291393,10,16.9,29,283,0,0,1,0,0,0
5,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,1,3,10117.0,46,0.0045468024117821,6,7.67,40,312,0,0,0,0,1,0
5,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,0,0,4,1412.0,49,0.0347025495750708,2,24.5,64,592,0,0,0,0,1,0
3,27686.0,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,3,9228.67,19,0.0020588015391166,4,4.75,31,474,0,0,1,0,0,0
1,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,2,3750.0,61,0.0162666666666666,6,10.17,38,107,0,0,1,0,0,0
3,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,1,63033.0,1102,0.0174829057795123,16,68.88,55,474,1,1,0,0,0,0
4,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,3,19784.67,310,0.0156686970265362,15,20.67,62,474,1,1,0,0,0,0
3,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,2,8661.5,46,0.0053108583963516,5,9.2,27,73,0,0,1,0,0,0
5,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,1,82800.0,1315,0.0158816425120772,26,50.58,68,118,1,0,0,1,0,0
3,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,4,10462.5,96,0.0091756272401433,9,10.67,34,148,0,0,1,0,0,0
3,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,2,18880.0,317,0.0167902542372881,13,24.38,68,33,0,0,0,0,1,0
4,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,3,25665.0,1782,0.0694330800701344,26,68.54,65,242,0,0,1,0,0,0
2,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,2,16906.0,133,0.0078670294569975,8,16.62,29,97,1,0,0,1,0,0
3,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,2,18520.0,316,0.0170626349892008,12,26.33,32,10,0,0,1,0,0,0
3,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,3,815.67,1730,2.1209557786850075,43,40.23,35,161,0,0,1,0,0,0
5,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,0,3,19535.67,972,0.0497551402127493,17,57.18,65,147,0,0,1,0,0,0
5,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,3,21774.67,544,0.0249831570352156,20,27.2,60,531,0,0,1,0,0,0
3,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,3,13563.0,444,0.0327361203273612,20,22.2,63,232,0,0,0,0,1,0
3,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,1,18589.0,75,0.0040346441443864,8,9.38,45,157,1,0,0,1,0,0
3,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,4,13339.75,257,0.0192657283682227,14,18.36,38,302,0,0,1,0,0,0
3,58899.0,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,2,29449.5,637,0.0216302483913139,27,23.59,28,206,1,0,0,1,0,0
3,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,3,12786.67,131,0.0102450442531167,9,14.56,25,306,0,0,1,0,0,0
5,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,2,42309.0,1672,0.0395187785104824,26,64.31,49,481,0,0,1,0,0,0
4,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,1,10979.0,30,0.0027324892977502,8,3.75,25,662,1,1,0,0,0,0
4,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,2,19310.0,318,0.016468151216986,11,28.91,51,286,0,0,0,0,1,0
3,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,0,3,13516.0,120,0.0088783663805859,9,13.33,44,73,0,0,0,0,1,0
5,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,1,3,15536.67,302,0.0194378846947254,17,17.76,62,92,1,1,0,0,0,0
4,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,2,34328.5,1196,0.0348398560962465,18,66.44,68,206,0,0,1,0,0,0
4,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,3,16463.0,65,0.0039482475854947,6,10.83,63,396,1,0,0,1,0,0
5,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,3,22451.0,913,0.0406663400293973,28,32.61,44,520,0,0,1,0,0,0
2,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,3,7906.0,81,0.0102453832532254,9,9.0,38,400,0,0,1,0,0,0
3,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,2,21214.5,67,0.0031582172570647,7,9.57,41,562,1,0,0,0,0,1
5,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,0,1,1,48948.0,902,0.0184277192122252,24,37.58,71,187,1,1,0,0,0,0
3,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,3,26670.33,1395,0.0523053145574126,21,66.43,34,274,0,0,1,0,0,0
4,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,3,6853.0,53,0.0077338391945133,7,7.57,29,226,0,0,1,0,0,0
3,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,3,7331.33,22,0.0030008197694006,4,5.5,57,148,0,0,0,0,1,0
5,43196.0,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,1,43196.0,186,0.0043059542550236,9,20.67,55,464,1,0,0,1,0,0
4,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,3,2500.0,31,0.0124,8,3.88,39,430,0,0,1,0,0,0
3,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,1,79941.0,984,0.0123090779449844,16,61.5,38,699,1,0,0,1,0,0
2,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,1,2,3750.0,122,0.0325333333333333,10,12.2,18,103,0,0,1,0,0,0
